"","country","station_code","station_name","sample_latitude","sample_longitude","year","date","species","sex","n_individual","subseries","sample","determinand","matrix","basis","unit","value","censoring","limit_detection","limit_quantification","uncertainty","unit_uncertainty","method_pretreatment","method_analysis","method_extraction","targets_group"
"14","Norway",4954,"30A Gressholmen",NA,NA,1988,"1988-10-15","Mytilus edulis",NA,1,NA,5931,"CD","SB","W","mg/kg",0.10123,"",NA,NA,20,"%",NA,NA,NA,"CD"
"15","Norway",4954,"30A Gressholmen",NA,NA,1989,"1989-10-15","Mytilus edulis",NA,1,NA,5932,"CD","SB","W","mg/kg",0.17,"",NA,NA,20,"%",NA,NA,NA,"CD"
"16","Norway",4954,"30A Gressholmen",NA,NA,1989,"1989-10-15","Mytilus edulis",NA,1,NA,5933,"CD","SB","W","mg/kg",0.15,"",NA,NA,20,"%",NA,NA,NA,"CD"
"17","Norway",4954,"30A Gressholmen",NA,NA,1989,"1989-10-15","Mytilus edulis",NA,1,NA,5934,"CD","SB","W","mg/kg",0.17,"",NA,NA,20,"%",NA,NA,NA,"CD"
"18","Norway",4954,"30A Gressholmen",NA,NA,1990,"1990-10-15","Mytilus edulis",NA,1,NA,5935,"CD","SB","W","mg/kg",0.13,"",NA,NA,20,"%",NA,NA,NA,"CD"
"19","Norway",4954,"30A Gressholmen",NA,NA,1990,"1990-10-15","Mytilus edulis",NA,1,NA,5936,"CD","SB","W","mg/kg",0.12,"",NA,NA,20,"%",NA,NA,NA,"CD"
"20","Norway",4954,"30A Gressholmen",NA,NA,1990,"1990-10-15","Mytilus edulis",NA,1,NA,5937,"CD","SB","W","mg/kg",0.11,"",NA,NA,20,"%",NA,NA,NA,"CD"
"21","Norway",4954,"30A Gressholmen",NA,NA,1991,"1991-10-15","Mytilus edulis",NA,1,NA,5938,"CD","SB","W","mg/kg",0.12,"",NA,NA,20,"%",NA,NA,NA,"CD"
"22","Norway",4954,"30A Gressholmen",NA,NA,1991,"1991-10-15","Mytilus edulis",NA,1,NA,5939,"CD","SB","W","mg/kg",0.13,"",NA,NA,20,"%",NA,NA,NA,"CD"
"23","Norway",4954,"30A Gressholmen",NA,NA,1991,"1991-10-15","Mytilus edulis",NA,1,NA,5940,"CD","SB","W","mg/kg",0.22,"",NA,NA,20,"%",NA,NA,NA,"CD"
"24","Norway",4954,"30A Gressholmen",NA,NA,1992,"1992-10-15","Mytilus edulis",NA,1,NA,5941,"CD","SB","W","mg/kg",0.22,"",NA,NA,20,"%",NA,NA,NA,"CD"
"25","Norway",4954,"30A Gressholmen",NA,NA,1992,"1992-10-15","Mytilus edulis",NA,1,NA,5942,"CD","SB","W","mg/kg",0.22,"",NA,NA,20,"%",NA,NA,NA,"CD"
"26","Norway",4954,"30A Gressholmen",NA,NA,1992,"1992-10-15","Mytilus edulis",NA,1,NA,5943,"CD","SB","W","mg/kg",0.25,"",NA,NA,20,"%",NA,NA,NA,"CD"
"27","Norway",4954,"30A Gressholmen",NA,NA,1993,"1993-10-15","Mytilus edulis",NA,1,NA,5944,"CD","SB","W","mg/kg",0.22,"",NA,NA,20,"%",NA,NA,NA,"CD"
"28","Norway",4954,"30A Gressholmen",NA,NA,1993,"1993-10-15","Mytilus edulis",NA,1,NA,5945,"CD","SB","W","mg/kg",0.2,"",NA,NA,20,"%",NA,NA,NA,"CD"
"29","Norway",4954,"30A Gressholmen",NA,NA,1993,"1993-10-15","Mytilus edulis",NA,1,NA,5946,"CD","SB","W","mg/kg",0.26,"",NA,NA,20,"%",NA,NA,NA,"CD"
"30","Norway",4954,"30A Gressholmen",NA,NA,1994,"1994-10-15","Mytilus edulis",NA,1,NA,5947,"CD","SB","W","mg/kg",0.213,"",NA,NA,20,"%",NA,NA,NA,"CD"
"31","Norway",4954,"30A Gressholmen",NA,NA,1994,"1994-10-15","Mytilus edulis",NA,1,NA,5948,"CD","SB","W","mg/kg",0.196,"",NA,NA,20,"%",NA,NA,NA,"CD"
"32","Norway",4954,"30A Gressholmen",NA,NA,1994,"1994-10-15","Mytilus edulis",NA,1,NA,5949,"CD","SB","W","mg/kg",0.229,"",NA,NA,20,"%",NA,NA,NA,"CD"
"33","Norway",4954,"30A Gressholmen",NA,NA,1995,"1995-10-15","Mytilus edulis",NA,1,NA,5950,"CD","SB","W","mg/kg",0.154,"",NA,NA,20,"%",NA,NA,NA,"CD"
"34","Norway",4954,"30A Gressholmen",NA,NA,1995,"1995-10-15","Mytilus edulis",NA,1,NA,5951,"CD","SB","W","mg/kg",0.147,"",NA,NA,20,"%",NA,NA,NA,"CD"
"35","Norway",4954,"30A Gressholmen",NA,NA,1995,"1995-10-15","Mytilus edulis",NA,1,NA,5952,"CD","SB","W","mg/kg",0.177,"",NA,NA,20,"%",NA,NA,NA,"CD"
"36","Norway",4954,"30A Gressholmen",NA,NA,1996,"1996-10-15","Mytilus edulis",NA,1,NA,5953,"CD","SB","W","mg/kg",0.15,"",NA,NA,20,"%",NA,NA,NA,"CD"
"37","Norway",4954,"30A Gressholmen",NA,NA,1996,"1996-10-15","Mytilus edulis",NA,1,NA,5954,"CD","SB","W","mg/kg",0.14,"",NA,NA,20,"%",NA,NA,NA,"CD"
"38","Norway",4954,"30A Gressholmen",NA,NA,1996,"1996-10-15","Mytilus edulis",NA,1,NA,5955,"CD","SB","W","mg/kg",0.16,"",NA,NA,20,"%",NA,NA,NA,"CD"
"39","Norway",4954,"30A Gressholmen",NA,NA,1997,"1997-10-15","Mytilus edulis",NA,1,NA,5957,"CD","SB","W","mg/kg",0.203,"",NA,NA,20,"%",NA,NA,NA,"CD"
"40","Norway",4954,"30A Gressholmen",NA,NA,1997,"1997-10-15","Mytilus edulis",NA,1,NA,5958,"CD","SB","W","mg/kg",0.156,"",NA,NA,20,"%",NA,NA,NA,"CD"
"41","Norway",4954,"30A Gressholmen",NA,NA,1997,"1997-10-15","Mytilus edulis",NA,1,NA,5959,"CD","SB","W","mg/kg",0.158,"",NA,NA,20,"%",NA,NA,NA,"CD"
"42","Norway",4954,"30A Gressholmen",NA,NA,1998,"1998-10-15","Mytilus edulis",NA,1,NA,5960,"CD","SB","W","mg/kg",0.23,"",NA,NA,20,"%",NA,NA,NA,"CD"
"43","Norway",4954,"30A Gressholmen",NA,NA,1998,"1998-10-15","Mytilus edulis",NA,1,NA,5961,"CD","SB","W","mg/kg",0.214,"",NA,NA,20,"%",NA,NA,NA,"CD"
"44","Norway",4954,"30A Gressholmen",NA,NA,1998,"1998-10-15","Mytilus edulis",NA,1,NA,5962,"CD","SB","W","mg/kg",0.204,"",NA,NA,20,"%",NA,NA,NA,"CD"
"45","Norway",4954,"30A Gressholmen",NA,NA,1999,"1999-10-15","Mytilus edulis",NA,1,NA,5963,"CD","SB","W","mg/kg",0.194,"",NA,NA,20,"%",NA,NA,NA,"CD"
"46","Norway",4954,"30A Gressholmen",NA,NA,1999,"1999-10-15","Mytilus edulis",NA,1,NA,5964,"CD","SB","W","mg/kg",0.191,"",NA,NA,20,"%",NA,NA,NA,"CD"
"47","Norway",4954,"30A Gressholmen",NA,NA,1999,"1999-10-15","Mytilus edulis",NA,1,NA,5965,"CD","SB","W","mg/kg",0.212,"",NA,NA,20,"%",NA,NA,NA,"CD"
"48","Norway",4954,"30A Gressholmen",NA,NA,2000,"2000-10-15","Mytilus edulis",NA,1,NA,5966,"CD","SB","W","mg/kg",0.194,"",NA,NA,20,"%",NA,NA,NA,"CD"
"49","Norway",4954,"30A Gressholmen",NA,NA,2000,"2000-10-15","Mytilus edulis",NA,1,NA,5967,"CD","SB","W","mg/kg",0.189,"",NA,NA,20,"%",NA,NA,NA,"CD"
"50","Norway",4954,"30A Gressholmen",NA,NA,2000,"2000-10-15","Mytilus edulis",NA,1,NA,5968,"CD","SB","W","mg/kg",0.188,"",NA,NA,20,"%",NA,NA,NA,"CD"
"51","Norway",4954,"30A Gressholmen",NA,NA,2001,"2001-10-15","Mytilus edulis",NA,1,NA,5969,"CD","SB","W","mg/kg",0.203,"",NA,NA,20,"%",NA,NA,NA,"CD"
"52","Norway",4954,"30A Gressholmen",NA,NA,2001,"2001-10-15","Mytilus edulis",NA,1,NA,5970,"CD","SB","W","mg/kg",0.169,"",NA,NA,20,"%",NA,NA,NA,"CD"
"53","Norway",4954,"30A Gressholmen",NA,NA,2001,"2001-10-15","Mytilus edulis",NA,1,NA,5971,"CD","SB","W","mg/kg",0.189,"",NA,NA,20,"%",NA,NA,NA,"CD"
"54","Norway",4954,"30A Gressholmen",NA,NA,2002,"2002-10-15","Mytilus edulis",NA,1,NA,5972,"CD","SB","W","mg/kg",0.242,"",NA,NA,20,"%",NA,NA,NA,"CD"
"55","Norway",4954,"30A Gressholmen",NA,NA,2002,"2002-10-15","Mytilus edulis",NA,1,NA,5973,"CD","SB","W","mg/kg",0.228,"",NA,NA,20,"%",NA,NA,NA,"CD"
"56","Norway",4954,"30A Gressholmen",NA,NA,2002,"2002-10-15","Mytilus edulis",NA,1,NA,5974,"CD","SB","W","mg/kg",0.283,"",NA,NA,20,"%",NA,NA,NA,"CD"
"57","Norway",4954,"30A Gressholmen",NA,NA,2003,"2003-10-15","Mytilus edulis",NA,1,NA,5975,"CD","SB","W","mg/kg",0.227,"",NA,NA,20,"%",NA,NA,NA,"CD"
"58","Norway",4954,"30A Gressholmen",NA,NA,2003,"2003-10-15","Mytilus edulis",NA,1,NA,5976,"CD","SB","W","mg/kg",0.242,"",NA,NA,20,"%",NA,NA,NA,"CD"
"59","Norway",4954,"30A Gressholmen",NA,NA,2003,"2003-10-15","Mytilus edulis",NA,1,NA,5977,"CD","SB","W","mg/kg",0.231,"",NA,NA,20,"%",NA,NA,NA,"CD"
"60","Norway",4954,"30A Gressholmen",NA,NA,2004,"2004-10-15","Mytilus edulis",NA,1,NA,5978,"CD","SB","W","mg/kg",0.19,"",NA,NA,20,"%",NA,NA,NA,"CD"
"61","Norway",4954,"30A Gressholmen",NA,NA,2004,"2004-10-15","Mytilus edulis",NA,1,NA,5979,"CD","SB","W","mg/kg",0.268,"",NA,NA,20,"%",NA,NA,NA,"CD"
"62","Norway",4954,"30A Gressholmen",NA,NA,2004,"2004-10-15","Mytilus edulis",NA,1,NA,5980,"CD","SB","W","mg/kg",0.266,"",NA,NA,20,"%",NA,NA,NA,"CD"
"63","Norway",4954,"30A Gressholmen",NA,NA,2005,"2005-10-15","Mytilus edulis",NA,1,NA,5981,"CD","SB","W","mg/kg",0.255,"",NA,NA,20,"%",NA,NA,NA,"CD"
"64","Norway",4954,"30A Gressholmen",NA,NA,2005,"2005-10-15","Mytilus edulis",NA,1,NA,5982,"CD","SB","W","mg/kg",0.272,"",NA,NA,20,"%",NA,NA,NA,"CD"
"65","Norway",4954,"30A Gressholmen",NA,NA,2005,"2005-10-15","Mytilus edulis",NA,1,NA,5983,"CD","SB","W","mg/kg",0.269,"",NA,NA,20,"%",NA,NA,NA,"CD"
"66","Norway",4954,"30A Gressholmen",NA,NA,2006,"2006-10-15","Mytilus edulis",NA,1,NA,5984,"CD","SB","W","mg/kg",0.223,"",NA,NA,20,"%",NA,NA,NA,"CD"
"67","Norway",4954,"30A Gressholmen",NA,NA,2006,"2006-10-15","Mytilus edulis",NA,1,NA,5985,"CD","SB","W","mg/kg",0.227,"",NA,NA,20,"%",NA,NA,NA,"CD"
"68","Norway",4954,"30A Gressholmen",NA,NA,2006,"2006-10-15","Mytilus edulis",NA,1,NA,5986,"CD","SB","W","mg/kg",0.291,"",NA,NA,20,"%",NA,NA,NA,"CD"
"69","Norway",4954,"30A Gressholmen",NA,NA,2007,"2007-10-15","Mytilus edulis",NA,1,NA,5987,"CD","SB","W","mg/kg",0.245,"",NA,NA,20,"%",NA,NA,NA,"CD"
"70","Norway",4954,"30A Gressholmen",NA,NA,2007,"2007-10-15","Mytilus edulis",NA,1,NA,5988,"CD","SB","W","mg/kg",0.242,"",NA,NA,20,"%",NA,NA,NA,"CD"
"71","Norway",4954,"30A Gressholmen",NA,NA,2007,"2007-10-15","Mytilus edulis",NA,1,NA,5989,"CD","SB","W","mg/kg",0.242,"",NA,NA,20,"%",NA,NA,NA,"CD"
"72","Norway",4954,"30A Gressholmen",NA,NA,2008,"2008-10-15","Mytilus edulis",NA,1,NA,5990,"CD","SB","W","mg/kg",0.268,"",NA,NA,20,"%",NA,NA,NA,"CD"
"73","Norway",4954,"30A Gressholmen",NA,NA,2008,"2008-10-15","Mytilus edulis",NA,1,NA,5991,"CD","SB","W","mg/kg",0.284,"",NA,NA,20,"%",NA,NA,NA,"CD"
"74","Norway",4954,"30A Gressholmen",NA,NA,2008,"2008-10-15","Mytilus edulis",NA,1,NA,5992,"CD","SB","W","mg/kg",0.289,"",NA,NA,20,"%",NA,NA,NA,"CD"
"75","Norway",4954,"30A Gressholmen",NA,NA,2009,"2009-10-15","Mytilus edulis",NA,1,NA,5993,"CD","SB","W","mg/kg",0.164,"",NA,NA,20,"%",NA,NA,NA,"CD"
"76","Norway",4954,"30A Gressholmen",NA,NA,2009,"2009-10-15","Mytilus edulis",NA,1,NA,5994,"CD","SB","W","mg/kg",0.217,"",NA,NA,20,"%",NA,NA,NA,"CD"
"77","Norway",4954,"30A Gressholmen",NA,NA,2009,"2009-10-15","Mytilus edulis",NA,1,NA,5995,"CD","SB","W","mg/kg",0.238,"",NA,NA,20,"%",NA,NA,NA,"CD"
"78","Norway",4954,"30A Gressholmen",NA,NA,2010,"2010-10-15","Mytilus edulis",NA,1,NA,5996,"CD","SB","W","mg/kg",0.242,"",NA,NA,20,"%",NA,NA,NA,"CD"
"79","Norway",4954,"30A Gressholmen",NA,NA,2010,"2010-10-15","Mytilus edulis",NA,1,NA,5997,"CD","SB","W","mg/kg",0.273,"",NA,NA,20,"%",NA,NA,NA,"CD"
"80","Norway",4954,"30A Gressholmen",NA,NA,2010,"2010-10-15","Mytilus edulis",NA,1,NA,5998,"CD","SB","W","mg/kg",0.291,"",NA,NA,20,"%",NA,NA,NA,"CD"
"81","Norway",4954,"30A Gressholmen",NA,NA,2011,"2011-10-15","Mytilus edulis",NA,1,NA,5999,"CD","SB","W","mg/kg",0.358,"",NA,NA,20,"%",NA,NA,NA,"CD"
"82","Norway",4954,"30A Gressholmen",NA,NA,2011,"2011-10-15","Mytilus edulis",NA,1,NA,6000,"CD","SB","W","mg/kg",0.305,"",NA,NA,20,"%",NA,NA,NA,"CD"
"83","Norway",4954,"30A Gressholmen",NA,NA,2011,"2011-10-15","Mytilus edulis",NA,1,NA,6001,"CD","SB","W","mg/kg",0.271,"",NA,NA,20,"%",NA,NA,NA,"CD"
"84","Norway",4954,"30A Gressholmen",NA,NA,2012,"2012-10-15","Mytilus edulis",NA,1,NA,6002,"CD","SB","W","mg/kg",0.16,"",NA,NA,20,"%",NA,NA,NA,"CD"
"85","Norway",4954,"30A Gressholmen",NA,NA,2012,"2012-10-15","Mytilus edulis",NA,1,NA,6003,"CD","SB","W","mg/kg",0.26,"",NA,NA,20,"%",NA,NA,NA,"CD"
"86","Norway",4954,"30A Gressholmen",NA,NA,2012,"2012-10-15","Mytilus edulis",NA,1,NA,6004,"CD","SB","W","mg/kg",0.26,"",NA,NA,20,"%",NA,NA,NA,"CD"
"87","Norway",4954,"30A Gressholmen",NA,NA,2013,"2013-10-15","Mytilus edulis",NA,1,NA,6006,"CD","SB","W","mg/kg",0.13,"",NA,NA,20,"%",NA,NA,NA,"CD"
"88","Norway",4954,"30A Gressholmen",NA,NA,2013,"2013-10-15","Mytilus edulis",NA,1,NA,6007,"CD","SB","W","mg/kg",0.14,"",NA,NA,20,"%",NA,NA,NA,"CD"
"89","Norway",4954,"30A Gressholmen",NA,NA,2013,"2013-10-15","Mytilus edulis",NA,1,NA,6008,"CD","SB","W","mg/kg",0.14,"",NA,NA,20,"%",NA,NA,NA,"CD"
"90","Norway",4954,"30A Gressholmen",NA,NA,2014,"2014-10-15","Mytilus edulis",NA,1,NA,6009,"CD","SB","W","mg/kg",0.19,"",NA,NA,20,"%",NA,NA,NA,"CD"
"91","Norway",4954,"30A Gressholmen",NA,NA,2014,"2014-10-15","Mytilus edulis",NA,1,NA,6010,"CD","SB","W","mg/kg",0.17,"",NA,NA,20,"%",NA,NA,NA,"CD"
"92","Norway",4954,"30A Gressholmen",NA,NA,2014,"2014-10-15","Mytilus edulis",NA,1,NA,6011,"CD","SB","W","mg/kg",0.15,"",NA,NA,20,"%",NA,NA,NA,"CD"
"93","Norway",4954,"30A Gressholmen",NA,NA,2015,"2015-10-15","Mytilus edulis",NA,1,NA,6012,"CD","SB","W","mg/kg",0.2,"",NA,NA,20,"%",NA,NA,NA,"CD"
"94","Norway",4954,"30A Gressholmen",NA,NA,2015,"2015-10-15","Mytilus edulis",NA,1,NA,6013,"CD","SB","W","mg/kg",0.19,"",NA,NA,20,"%",NA,NA,NA,"CD"
"95","Norway",4954,"30A Gressholmen",NA,NA,2015,"2015-10-15","Mytilus edulis",NA,1,NA,6014,"CD","SB","W","mg/kg",0.21,"",NA,NA,20,"%",NA,NA,NA,"CD"
"96","Norway",4954,"30A Gressholmen",NA,NA,2016,"2016-10-15","Mytilus edulis",NA,1,NA,6015,"CD","SB","W","mg/kg",0.14,"",NA,NA,20,"%",NA,NA,NA,"CD"
"97","Norway",4954,"30A Gressholmen",NA,NA,2016,"2016-10-15","Mytilus edulis",NA,1,NA,6016,"CD","SB","W","mg/kg",0.15,"",NA,NA,20,"%",NA,NA,NA,"CD"
"98","Norway",4954,"30A Gressholmen",NA,NA,2016,"2016-10-15","Mytilus edulis",NA,1,NA,6017,"CD","SB","W","mg/kg",0.13,"",NA,NA,20,"%",NA,NA,NA,"CD"
"99","Norway",4954,"30A Gressholmen",NA,NA,2017,"2017-10-15","Mytilus edulis",NA,1,NA,6018,"CD","SB","W","mg/kg",0.18,"",NA,NA,20,"%",NA,NA,NA,"CD"
"100","Norway",4954,"30A Gressholmen",NA,NA,2017,"2017-10-15","Mytilus edulis",NA,1,NA,6018,"PFOS","SB","W","ug/kg",0.1,"Q",NA,0.1,25,"%",NA,NA,NA,"PFOS"
"101","Norway",4954,"30A Gressholmen",NA,NA,2017,"2017-10-15","Mytilus edulis",NA,1,NA,6019,"CD","SB","W","mg/kg",0.18,"",NA,NA,20,"%",NA,NA,NA,"CD"
"102","Norway",4954,"30A Gressholmen",NA,NA,2017,"2017-10-15","Mytilus edulis",NA,1,NA,6019,"PFOS","SB","W","ug/kg",0.1,"Q",NA,0.1,25,"%",NA,NA,NA,"PFOS"
"103","Norway",4954,"30A Gressholmen",NA,NA,2017,"2017-10-15","Mytilus edulis",NA,1,NA,6020,"CD","SB","W","mg/kg",0.15,"",NA,NA,20,"%",NA,NA,NA,"CD"
"104","Norway",4954,"30A Gressholmen",NA,NA,2017,"2017-10-15","Mytilus edulis",NA,1,NA,6020,"PFOS","SB","W","ug/kg",0.1,"Q",NA,0.1,25,"%",NA,NA,NA,"PFOS"
"105","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11857,"CD","LI","W","mg/kg",0.206,"",NA,NA,20,"%",NA,NA,NA,"CD"
"106","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11858,"CD","LI","W","mg/kg",0.181,"",NA,NA,20,"%",NA,NA,NA,"CD"
"107","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11859,"CD","LI","W","mg/kg",0.016,"",NA,NA,20,"%",NA,NA,NA,"CD"
"108","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11860,"CD","LI","W","mg/kg",0.021,"",NA,NA,20,"%",NA,NA,NA,"CD"
"109","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11861,"CD","LI","W","mg/kg",0.132,"",NA,NA,20,"%",NA,NA,NA,"CD"
"110","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11862,"CD","LI","W","mg/kg",0.075,"",NA,NA,20,"%",NA,NA,NA,"CD"
"111","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11863,"CD","LI","W","mg/kg",0.109,"",NA,NA,20,"%",NA,NA,NA,"CD"
"112","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11864,"CD","LI","W","mg/kg",0.052,"",NA,NA,20,"%",NA,NA,NA,"CD"
"113","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11865,"CD","LI","W","mg/kg",0.055,"",NA,NA,20,"%",NA,NA,NA,"CD"
"114","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11866,"CD","LI","W","mg/kg",0.069,"",NA,NA,20,"%",NA,NA,NA,"CD"
"115","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11867,"CD","LI","W","mg/kg",0.031,"",NA,NA,20,"%",NA,NA,NA,"CD"
"116","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11868,"CD","LI","W","mg/kg",0.038,"",NA,NA,20,"%",NA,NA,NA,"CD"
"117","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11869,"CD","LI","W","mg/kg",0.023,"",NA,NA,20,"%",NA,NA,NA,"CD"
"118","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11870,"CD","LI","W","mg/kg",0.064,"",NA,NA,20,"%",NA,NA,NA,"CD"
"119","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11871,"CD","LI","W","mg/kg",0.013,"",NA,NA,20,"%",NA,NA,NA,"CD"
"120","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11872,"CD","LI","W","mg/kg",0.099,"",NA,NA,20,"%",NA,NA,NA,"CD"
"121","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11873,"CD","LI","W","mg/kg",0.069,"",NA,NA,20,"%",NA,NA,NA,"CD"
"122","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11874,"CD","LI","W","mg/kg",0.451,"",NA,NA,20,"%",NA,NA,NA,"CD"
"123","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11875,"CD","LI","W","mg/kg",0.023,"",NA,NA,20,"%",NA,NA,NA,"CD"
"124","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11876,"CD","LI","W","mg/kg",0.049,"",NA,NA,20,"%",NA,NA,NA,"CD"
"125","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11877,"CD","LI","W","mg/kg",0.288,"",NA,NA,20,"%",NA,NA,NA,"CD"
"126","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11878,"CD","LI","W","mg/kg",0.103,"",NA,NA,20,"%",NA,NA,NA,"CD"
"127","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11879,"CD","LI","W","mg/kg",0.173,"",NA,NA,20,"%",NA,NA,NA,"CD"
"128","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11880,"CD","LI","W","mg/kg",0.028,"",NA,NA,20,"%",NA,NA,NA,"CD"
"129","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1992,"1992-10-15","Gadus morhua",NA,1,NA,11881,"CD","LI","W","mg/kg",0.219,"",NA,NA,20,"%",NA,NA,NA,"CD"
"130","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1993,"1993-10-15","Gadus morhua",NA,1,NA,11887,"CD","LI","W","mg/kg",0.1,"",NA,NA,20,"%",NA,NA,NA,"CD"
"131","Norway",4994,"98B1 Bjørnerøya (east)",NA,NA,1993,"1993-10-15","Gadus morhua",NA,1,NA,11888,"CD","LI","W","mg/kg",0.17,"",NA,NA,20,"%",NA,NA,NA,"CD"
